_id,validated,venue_name,venue_type,venue_address,website,events,etc,menu,venue_notes,phone,email,homemade_pierogies,take_out,alcohol,lunch,handicap,publish,id,latitude,longitude
14,True,Nemacolin Fire Department,Fire Department,"200 Roosevelt Ave, Nemacolin Pa 15351",,"Friday Mar 31 from 11:00 AM to 6:00 PM, Friday Mar 3 from 11:00 AM to 6:00 PM, Friday Mar 17 from 11:00 AM to 6:00 PM, Friday Apr 7 from 11:00 AM to 6:00 PM, Friday Apr 14 from 11:00 AM to 6:00 PM, Friday Mar 10 from 11:00 AM to 6:00 PM, Friday Mar 24 from 11:00 AM to 6:00 PM",,,,724-966-7408,,,True,,True,,True,131,39.875755,-79.930817
15,True,"Our Lady of Grace, Scott Township",Church,"310 Kane Blvd. Scott Township, PA",http://www.olgscott.org/,"Friday Mar 10 from 4:30 PM to 7:00 PM, Friday Apr 14 from 4:30 PM to 7:00 PM, Friday Apr 7 from 4:30 PM to 7:00 PM, Friday Mar 17 from 4:30 PM to 7:00 PM, Wednesday Mar 1 from 4:30 PM to 7:00 PM, Friday Mar 31 from 4:30 PM to 7:00 PM, Friday Mar 24 from 4:30 PM to 7:00 PM",,"Dinner menu features fried and baked fish, shrimp, crab cake, seafood platter. Dinners include drink, dessert, baked potato, roll and cole slaw. A la carte menu includes lobster bisque, macaroni and cheese, pierogies, haluski, pizza, french fries, baked potatoes and more.",Conroy Hall (school),412-279-7070,,,True,,False,,True,21,40.373327,-80.08519
16,True,"St. Benedict the Abbot, Peters Township",Church," 120 Abington Dr, McMurray, PA 15317",,"Friday Mar 24 from 4:00 PM to 4:00 PM, Friday Mar 17 from 11:00 AM to 1:00 PM, Friday Mar 10 from 4:00 PM to 7:30 PM, Friday Mar 31 from 4:00 PM to 7:30 PM, Friday Mar 10 from 11:00 AM to 1:00 PM, Friday Mar 3 from 4:00 PM to 7:30 PM, Friday Apr 7 from 11:00 AM to 1:00 PM, Friday Mar 17 from 4:00 PM to 7:30 PM, Friday Mar 24 from 11:00 AM to 1:00 PM, Friday Mar 31 from 11:00 AM to 1:00 PM, Friday Apr 7 from 4:00 PM to 4:00 PM, Friday Mar 3 from 11:00 AM to 1:00 PM",,,,,,,,,True,,True,216,40.283122,-80.08578
17,False,Blaine Hill VFD,,"409 Oxford ave, Elizabeth, PA",,,,,,,,,,,,,False,104,40.272983,-79.875079
18,True,White Oak American Legion Post 701,Community Organization,"2813 Capitol St, White Oak, PA 15131",http://www.whiteoakpost701.org,,Fish Fry at the White Oak American Legion Post 701 Ash Wednesday and Every Friday in Lent (including Good Friday) from 3:00PM - 9:00PM. All proceeds and tips from the fish fry will benefit PA Housing for Homeless Veterans Corporation!  Cash Only - ATM available.,Check out our FB page for the Menu -- White Oak Legion Kitchen! Call ahead for takeout. ,,412-672-7994,,,True,,False,,True,215,40.33951,-79.798391
19,False,St. Brigid,Church,"383 Arch Street, Meadville, PA",,,,,,,,,,,,,False,57,41.636344,-80.148842
20,True,"Immaculate Conception, Washington",Church,"119 W. Chestnut St., Washington, PA",,"Friday Mar 24 from 11:00 AM to 7:00 PM, Wednesday Mar 1 from 11:00 AM to 7:00 PM, Friday Apr 14 from 11:00 AM to 7:00 PM, Friday Mar 17 from 11:00 AM to 7:00 PM, Friday Mar 3 from 11:00 AM to 7:00 PM, Friday Mar 10 from 11:00 AM to 7:00 PM, Friday Mar 31 from 11:00 AM to 7:00 PM, Friday Apr 7 from 11:00 AM to 7:00 PM","Ash Wednesday and Fridays of Lent, including Good Friday, 11 a.m.-7 p.m.","Menu features fried and baked fish dinners, fish tacos, salads, shrimp, cabbage and noodles, cheese pizza, and macaroni and cheese. Cost is $9 for adult dinner, $7 for sandwich.",,724-222- 9737,,,True,False,True,,True,16,40.172023,-80.248403
21,True,Holy Spirit (West Mifflin),Church,"2603 Old Elizabeth Road, West Mifflin, Pa 15122",https://facebook.com/holyspiritchurch/,Wednesday Mar 1 from 11:00 AM to 7:00 PM,Ash Wednesday 11a to 7p,,,412-346-0477,19201@diopitt.org,,,,,,True,15,40.348065,-79.93331
22,True,West Wilmerding VFD Station 211,Fire Department,"330 Kline ave, North Versailles, PA",https://www.facebook.com/Wwvfdfishfry/,"Friday Mar 10 from 11:00 AM to 8:00 PM, Friday Mar 3 from 11:00 AM to 8:00 PM, Friday Mar 24 from 11:00 AM to 8:00 PM, Friday Mar 17 from 11:00 AM to 8:00 PM, Friday Apr 7 from 11:00 AM to 8:00 PM, Wednesday Mar 1 from 11:00 AM to 8:00 PM, Friday Mar 31 from 11:00 AM to 8:00 PM, Friday Apr 14 from 11:00 AM to 8:00 PM",Homemade Huluski and Local Deliveries.,https://www.facebook.com/Wwvfdfishfry/,Greensburg Pike at Kline Ave,412-646-2594,,False,True,False,True,,True,108,40.397375,-79.820394
23,True,"St. Teresa of Avila, Perrysville",Church,"1000 Avila Court Pittsburgh, PA 15237",http://avilaparish.org/lenten-fish-fry/,"Friday Mar 10 from 4:30 PM to 7:30 PM, Friday Mar 3 from 4:30 PM to 7:30 PM, Friday Mar 24 from 4:30 PM to 7:30 PM, Friday Apr 7 from 4:30 PM to 7:30 PM, Friday Mar 31 from 4:30 PM to 7:30 PM, Friday Mar 17 from 4:30 PM to 7:30 PM, Friday Apr 14 from 3:30 PM to 7:30 PM",,"Fried Fish, Baked Fish, Fried Shrimp, Fish Sandiwhces, Shrimp Baskets, Homemade Mac and Cheese!, Homemade Cole Slaw -secret recipe!, Apple Sauce, French Fries, Baked Potatoes, New England Clam Chowder, Tomato Florentine Soup, Bread, Butter, Drink, Yummy Desserts, , Beer and Wine Available!!, , Dinners: $10, Junior Meal $5 age 6 - 10, Kids Meal - Free! age 5 and under",,,,,,True,,,True,47,40.539051,-80.039719
24,True,St. Bartholomew,Church,"111 Erhardt Dr, Penn Hills, PA 15235",www.stbartsparish.com/,"Friday Mar 3 from 4:30 PM to 7:00 PM, Friday Mar 24 from 4:30 PM to 7:00 PM, Friday Mar 10 from 4:30 PM to 7:00 PM, Friday Apr 7 from 4:30 PM to 7:00 PM, Friday Mar 17 from 4:30 PM to 7:00 PM, Friday Mar 31 from 4:30 PM to 7:00 PM",,"Variety of choices available, including baked, breaded or battered fish, jumbo shrimp, crab cakes, pierogies, haluski, macaroni and cheese, personal cheese pizza, french fries and breadsticks.",The Fish Fry is in the school cafeteria.,412-242-2511,,False,,False,False,,True,217,40.46448,-79.84085
25,True,St. Anthony (church hall),Church,"804 Idaho St. , Sharon , PA 16146",,,"March 3, 10, 17, 24, 31, April 7, 14","Fried or baked fish. includes choice of baked potato or french fries, applesauce or coleslaw, cookie and beverage. palacinkas, too!",,724-342-7391,,,True,False,False,,True,55,41.216598,-80.494319
26,True,Nied's Hotel,Restaurant,"5438 Butler St, Pittsburgh, PA 15201",http://niedshotel.myfastsite.com/,"Friday Mar 24 from 7:00 AM to 11:45 PM, Friday Mar 10 from 7:00 AM to 11:45 PM, Friday Mar 31 from 7:00 AM to 11:45 PM, Friday Mar 17 from 7:00 AM to 11:45 PM, Friday Apr 14 from 7:00 AM to 11:45 PM, Friday Apr 7 from 7:00 AM to 11:45 PM, Friday Mar 3 from 7:00 AM to 11:45 PM",famous fish sandwich,http://niedshotel.myfastsite.com/menu/,,412-781-9853,,,True,True,True,,True,163,40.483363,-79.949836
27,True,St. Alphonsus (Wexford),Church,"201 Church St. Wexford, Pa. 15090",www.fish-fry.org,"Friday Mar 31 from 4:30 PM to 7:30 PM, Friday Apr 7 from 4:30 PM to 7:30 PM, Friday Mar 17 from 4:30 PM to 7:30 PM, Friday Mar 3 from 4:30 PM to 7:30 PM, Friday Mar 10 from 4:30 PM to 7:30 PM, Wednesday Mar 1 from 4:30 PM to 7:30 PM, Friday Apr 14 from 3:30 PM to 7:30 PM, Friday Mar 24 from 4:30 PM to 7:30 PM",Ash Wednesday is takeout only. To order takeout call either: 724-759-8659 or 412-799-4042 from 2-7pm. This is the 10th year of this fish fry.,"Dinner menu: entree (choices of fried or baked fish, fried or baked fish sandwich or shrimp); choice of macaroni and cheese, french fries or baked potato; choice of cole slaw or applesauce; choice of clam chowder or tomato Florentine soup (not included in kids meal); and beverage (no beverage for takeout meals). Cost: $10 for adults, $2 for kids. A la carte items: fried or baked fish sandwich, $6; half-pound fried or baked fish, $6; one-pound fried or baked fish, $11; shrimp basket, $6; and more. Desserts available for additional charge.",Served in the school cafeteria.,724-759-8659,N/A,,True,,False,,True,32,40.627681,-80.057339
28,False,Harris Grill,Restaurant,"5747 Ellsworth, Pittsburgh, PA",http://harrisgrill.com/,,No info for this year.,,,,,,,,,,False,62,40.455965,-79.931308
29,True,"St. Stephen, Hazelwood",Church,"134 East Elizabeth St. Pittsburgh, PA",http://www.ststephen-hazelwood.org/,"Friday Mar 31 from 3:30 PM to 7:00 PM, Friday Apr 14 from 3:30 PM to 7:00 PM, Friday Mar 24 from 3:30 PM to 7:00 PM, Friday Apr 7 from 3:30 PM to 7:00 PM, Friday Mar 3 from 3:30 PM to 7:00 PM, Friday Mar 17 from 3:30 PM to 7:00 PM, Friday Mar 10 from 3:30 PM to 7:00 PM",,"Baked and fried fish dinners include french fries and cole slaw. A la carte menu features fried or baked fish sandwiches, grilled cheese, french fries, macaroni and cheese, haluski and cole slaw. Also featuring bake sale.",,412-421-9210 office 412-421-4748 takeout orders,,,True,False,False,True,True,46,40.407194,-79.942663
30,True,St. Catherine of Sweden,Church," 2554 Wildwood Rd, Allison Park, PA 15101",www.stcatherineofsweden.org,"Friday Mar 24 from 4:00 PM to 7:00 PM, Friday Apr 7 from 4:00 PM to 7:00 PM, Friday Mar 10 from 4:00 PM to 7:00 PM, Friday Mar 3 from 4:00 PM to 7:00 PM, Friday Mar 31 from 4:00 PM to 7:00 PM, Friday Mar 17 from 4:00 PM to 7:00 PM",Special curbside pickup for takeout orders.,"Menu: fried or baked cod; steamed seasoned shrimp, baked breaded shrimp, fish or shrimp tacos, vegetarian salad in a deep-fried tortilla shell, macaroni and cheese dinner, pizza, clam chowder. Fish dinners include two sides (french fries, baked potato, tater tots, pierogies, macaroni and cheese, applesauce). All dine-in dinners include dessert and beverage. Cost is $10 for adult dinner, $5 for child dinner, $7 for senior dinner and $7.50 for sandwich, with a 10 percent discount for dinners served in hall between 4 and 5 p.m.",In the social hall,412-486-6001,,,True,,False,,True,220,40.591488,-79.966565
31,True,St. Bernard,Church,311 Washington Road,www.stbernardfishfry.net,"Friday Apr 7 from 4:00 PM to 7:30 PM, Friday Mar 17 from 4:00 PM to 7:30 PM, Friday Mar 31 from 4:00 PM to 7:30 PM, Friday Mar 24 from 4:00 PM to 7:30 PM, Friday Mar 10 from 4:00 PM to 7:30 PM, Friday Mar 3 from 4:00 PM to 7:30 PM",,"Menu includes fried or baked fish, shrimp, macaroni and cheese and fish taco dinners. Also featuring weekly specials.",In Church Hall,412-440-2697,,,,,False,,True,221,40.386773,-80.043452
32,True,Rices Landing Volunteer Fire Department,Fire Department,"66 Bayard Ave. Rices Landing, Pa. 15357",http://rlvfd66.com/,"Friday Mar 24 from 11:00 AM to 7:00 PM, Friday Mar 17 from 11:00 AM to 7:00 PM, Friday Mar 10 from 11:00 AM to 7:00 PM, Friday Mar 31 from 11:00 AM to 7:00 PM, Wednesday Mar 1 from 4:00 PM to 8:00 PM, Friday Apr 14 from 11:00 AM to 7:00 PM, Friday Mar 3 from 11:00 AM to 7:00 PM, Friday Apr 7 from 11:00 AM to 7:00 PM",,"
Dinners (All Dinners Come with 2 Sides and a Drink):

Hand Breaded Ocean Perch Dinner - $9.00
Fish Sandwich Dinner - $9.00
Shrimp Dinner - $9.00
Clam Strip Dinner - $9.00
Chicken Strip Dinner (4pcs) - $9.00
8oz Fish Sandwich - $6.00
5 Hand Breaded Ocean Perch - $6.00

Sides:
Beer Battered Fries - $2.00
Cole Slaw - $2.00
Pierogi - $3.00 (3 in the Dinner, 4 as a side)
Cabbage and Noodles - $3.00
Mac and Cheese - $3.00
Soup (Eat In Only), March: Clam Chowder, April: Lobster Bisque - $3.00

Other Items:
Side of Shrimp or Clams - $4.00
Side of Chicken Strips (3pcs) - $4.00
Angus Burger - $4.00
Hot Pepper Cheese Balls - $3.00
Breaded Cheese Sticks - $3.00

Condiments: Lettuce, Tomato, Onion, Pickle, Cheese, Ketchup, Mustard, Tartar Sauce, Cocktail Sauce, Hot Sauce, Mayo, Ranch, BBQ, Marinara

Drinks ($1): Coke, Pepsi, Diet Pepsi, Diet Coke, Mountain Dew, Dr. Pepper, Sprite, Water, Coffee",,(724) 592-5765,riceslandingvfdco66@yahoo.com,,,False,True,,True,28,39.945374,-79.992234
33,True,"St. Hilary, Washington",Church," 320 Henderson Ave, Washington, PA 15301",www.sthilaryparish.org,,"Ash Wednesday and Fridays of Lent, including Good Friday, 11 a.m.-6 p.m. For takeout orders, call 724-222-1381.","Menu includes hand-breaded haddock, fried shrimp, french fries, cole slaw, dessert and beverages. Dine-in or takeout. For information, call 724-222-4087 or visit www.sthilaryparish.org.",,724-222-4087,,,,,,,True,222,40.188747,-80.266978
34,True,Jimmy Gs Grill,Restaurant,"341 South Central Ave. Canonsburg, PA 15317",http://jimmygsgrill.com/,"Friday Mar 17 from 11:00 AM to 11:45 PM, Friday Mar 10 from 11:00 AM to 11:45 PM, Wednesday Mar 1 from 11:00 AM to 10:00 PM, Friday Apr 7 from 11:00 AM to 11:45 PM, Friday Mar 24 from 11:00 AM to 11:45 PM, Friday Mar 31 from 11:00 AM to 11:45 PM, Friday Apr 14 from 11:00 AM to 11:45 PM, Friday Mar 3 from 11:00 AM to 11:00 AM",,,,724-745-5666,,,,True,True,True,True,223,40.253097,-80.184174
35,True,Jimmy Gs Grill,Restaurant,"341 South Central Ave. Canonsburg, PA 15317",http://jimmygsgrill.com/,"Wednesday Mar 1 from 11:00 AM to 10:00 PM, Friday Apr 7 from 11:00 AM to 11:45 PM, Friday Mar 31 from 11:00 AM to 11:45 PM, Friday Mar 24 from 11:00 AM to 11:45 PM, Friday Mar 10 from 11:00 AM to 11:45 PM, Friday Mar 17 from 11:00 AM to 11:45 PM, Friday Mar 3 from 11:00 AM to 11:00 AM, Friday Apr 14 from 11:00 AM to 11:45 PM",,,,724-745-5666,,,,True,True,True,True,224,40.253097,-80.184174
36,True,California Volunteer Fire Department,Fire Department,"1000 Wood Street, California PA 15419",https://www.facebook.com/calvfd23/,"Friday Mar 24 from 11:00 AM to 7:00 PM, Friday Apr 14 from 11:00 AM to 7:00 PM, Friday Mar 31 from 11:00 AM to 7:00 PM, Friday Apr 7 from 11:00 AM to 7:00 PM, Wednesday Mar 1 from 11:00 AM to 7:00 PM, Friday Mar 10 from 11:00 AM to 7:00 PM, Friday Mar 17 from 11:00 AM to 7:00 PM, Friday Mar 3 from 11:00 AM to 7:00 PM","Ash Wednesday and Fridays during Lent, 11AM-7PM","Several types of traditional fried fish sandwiches, ever popular baked fish dinners after 3pm, and plenty of side dishes.",,,,,,False,True,,True,172,40.067488,-79.889763
37,True,"St. Damien of Molokai, Monongahela",Church,"400 Park Ave, Monongahela, PA 15063",,"Friday Mar 17 from 11:30 AM to 2:00 PM, Friday Mar 24 from 11:30 AM to 2:00 PM, Wednesday Mar 1 from 4:00 PM to 7:00 PM, Friday Mar 10 from 11:30 AM to 2:00 PM, Friday Apr 7 from 4:00 PM to 7:00 PM, Friday Mar 17 from 4:00 PM to 7:00 PM, Friday Mar 31 from 11:30 AM to 2:00 PM, Friday Apr 7 from 11:30 AM to 2:00 PM, Friday Mar 31 from 4:00 PM to 7:00 PM, Friday Mar 3 from 11:30 AM to 2:00 PM, Friday Mar 24 from 4:00 PM to 7:00 PM, Wednesday Mar 1 from 11:30 AM to 2:00 PM, Friday Mar 3 from 4:00 PM to 7:00 PM, Friday Mar 10 from 4:00 PM to 7:00 PM","Ash Wednesday and Fridays of Lent, except Good Friday, 11:30 a.m.-2 p.m. lunch, 4-7 p.m. dinner","Menu includes fish dinners and sandwiches, shrimp, crab cakes, pizza, fresh-cut french fries, macaroni and cheese, cole slaw, haluski, provolone sticks and more.",,724-258-7742,stdamienparish@verizon.net,,,,True,,True,218,40.198765,-79.9243
38,True,"St. James, Sewickley",Church,"200 Walnut St. Sewickley, Pa. 15143",,"Friday Mar 17 from 4:30 PM to 7:00 PM, Friday Mar 31 from 4:30 PM to 7:00 PM, Friday Apr 7 from 4:30 PM to 7:00 PM, Friday Mar 10 from 4:30 PM to 7:00 PM, Friday Apr 14 from 4:30 PM to 7:00 PM, Friday Mar 3 from 4:30 PM to 7:00 PM, Friday Mar 24 from 4:30 PM to 7:00 PM",,"Dinner menu, which includes choice of two sides ;french fries, cole slaw, macaroni and cheese, green beans, haluski;, plus iced tea, coffee or lemonade for dine-in dinners: fried fish sandwich platter, 11; Boston baked cod plate, 12; crab cake, 12; Atlantic salmon plate, 13. Fish sandwich only is 8. Kids meal features fish sticks or macaroni and cheese, one side and applesauce for 5. Family takeout special for 39 includes four fish pieces, rolls and two family-size side dishes. Also featuring homemade soups, home-baked desserts, autographed sports memorabilia raffle and more.",school cafeteria,412-741-5540,,,,False,False,,True,35,40.538575,-80.182422
39,False,Siwiaks HOMEstyle cooking,Unsure / N/A,"737 West Pike Street Houston, PA 15342",,"Friday Mar 17 from 8:00 AM to 7:00 PM, Friday Mar 24 from 8:00 AM to 7:00 PM, Friday Mar 10 from 8:00 AM to 7:00 PM, Friday Mar 3 from 8:00 AM to 7:00 PM, Friday Apr 14 from 8:00 AM to 7:00 PM, Friday Apr 7 from 8:00 AM to 7:00 PM, Friday Mar 31 from 8:00 AM to 7:00 PM",,Fish (cod) jumbo shrimp regular shrimp oysters and other seafoods an more.,,,,,,,,,False,219,40.242152,-80.21326
40,False,Brown Chapel AME Church,Church,"1400 Boyle St. Pittsburgh, PA",,,,,,,,,,,,,False,170,40.457463,-80.006315
41,False,Salem Township FD,,"128 Main Street, Slickville, Pa. 15684",,,,,,,,,,,,,False,132,40.460488,-79.520559
42,False,St. Mark/Liberty Borough,Church,"3210 Liberty Way Liberty Borough, PA",,,,,,,,,,,,,False,39,40.325794,-79.856232
43,False,Markle VFD,,"470 Joyce St., Apollo, PA",,,,,,,,,,,,,False,83,40.572178,-79.645278
44,True,First United Methodist Church Covenant Center,Church,"301 North Jefferson Street, Kittanning, PA",https://www.facebook.com/firstchurchkittanning,"Friday Mar 3 from 4:30 PM to 6:30 PM, Friday Apr 7 from 4:30 PM to 6:30 PM, Friday Mar 24 from 4:30 PM to 6:30 PM, Friday Mar 10 from 4:30 PM to 6:30 PM, Friday Mar 31 from 4:30 PM to 6:30 PM, Friday Mar 17 from 4:30 PM to 6:30 PM",,"Baked or Fried Fish or Sloppy Joe Sandwich, Comes with Choice of: Baked Potato, Curly Fries, or Macaroni and Cheese, and Choice of: Apple sauce or Cole Slaw, and Roll, Beverage and Homemade Pie Adult is $9, Children $4",,,,False,True,False,False,,True,285,40.816874,-79.52297
45,True,"St. Elizabeth Ann Seton, Carnegie",Church,"330 3rd Ave. Carnegie, Pa. 15106",,,,,,,,True,,,True,,True,5,40.41042,-80.090892
46,True,"North American Martyrs Catholic School, Monroeville",Church,"2526 Haymaker Road Monroeville, PA",http://www.namcatholicchurch.org/2017-fish-fry-menu.html,"Friday Mar 24 from 11:30 AM to 11:30 AM, Wednesday Mar 1 from 11:30 AM to 7:00 PM, Friday Apr 7 from 11:30 AM to 7:00 PM, Friday Mar 31 from 11:30 AM to 7:00 PM, Friday Mar 3 from 11:30 AM to 11:30 AM, Friday Mar 10 from 11:30 AM to 7:00 PM, Friday Apr 14 from 4:00 PM to 7:00 PM, Friday Mar 17 from 11:30 AM to 11:30 AM",,,,412-372-9771,Office@namcatholicchurch.org,,True,False,True,,True,19,40.425664,-79.748941
47,True,St. Agnes/Holy Trinity,Church,"Holy Trinity Church Social Hall, 529 Grant Avenue Ext West Mifflin, PA 15122-3830",,"Wednesday Mar 1 from 11:00 AM to 6:00 PM, Friday Mar 3 from 11:00 AM to 6:00 PM, Friday Mar 24 from 11:00 AM to 11:00 AM, Friday Mar 10 from 11:00 AM to 6:00 PM, Friday Mar 17 from 11:00 AM to 11:00 AM, Friday Mar 31 from 11:00 AM to 6:00 PM, Friday Apr 7 from 11:00 AM to 6:00 PM, Friday Apr 14 from 11:00 AM to 6:00 PM","Ash Wednesday and Fridays of Lent, including Good Friday, 11 a.m.-6 p.m. ","Menu: fried and baked fish sandwiches and dinners; shrimp dinner; crab cake dinner. Plus, haluski, cole slaw, pierogies, baked macaroni, homemade soups of the day and more.",,412-466-9695,,,True,False,True,,True,31,40.370546,-79.86589
